theme,content,description,howTo,time
모험,하루동안 아무 것도 하지 않고 쉬기,가끔은 휴식!,- 5시간동안 아무 것도 하지 않고 쉬기 <br>- 카운트 업 타이머로 5시간 인증하기,6
자기계발,한 줄 일기 쓰기,"정신 없이 많은게 흘러가는 하루, 글 한 줄 즘은 붙잡아야하지 않겠어요?",- 오늘 하루에 있었던 일을 가볍게 일기로 쓰기 <br>- 이른 시간인 경우 어제 있었던 일을 쓰기 <br>- 일기 내용을 찍어 업로드하기,2
자기계발,지금 기분 그림으로 한번 보여줘요,그려놓고 보면 '오? 제법인데' 할 걸요?,"- 색연필, 연필 등으로 가볍게 그림 그리기 <br>-그림 사진을 찍고 업로드하기",4
자기계발,청소하기,공부 시작하기 전에 하면 그렇게 즐거워요!,- 방이나 책상 청소하기 <br>- 깨끗해진 모습을 사진으로 찍어 업로드하기,2
자기계발,큰 걸음으로 산책하기,남자한테 그렇게 좋다는데..뭐라 설명할 방법이 없네..,- 평소 좋아하는 길을 걷기<br>- 산책로 사진을 찍어서 업로드하기,4
자기계발,5개 국어로 인삿말 적어보기,외국어.. 기초부터 차근차근 올라가면 가능해요!,- 5개 국어로 인삿말 발음해보기 <br>-종이에 문자로 적고 인증샷 올리기,4
자기계발,하루 담배 안 피기,금연하라는거 아니잖아요?,- 카운트 업 타이머로 5시간동안 담배를 피우지 않기 <br>- 타이머를 촬영해 인증샷 올리기,6
자기계발,달 한번 봐봐요,저렇게 예쁜 밤하늘에 금색이라니,- 하늘의 달 찾기 <br>- 달 사진 찍어서 업로드하기,2
자기계발,간단하게 1박 2일 여행계획 짜기,지루한 일상에서 벗어나 잠깐의 꿈같은 여행계획을 그려보는건 어떤가요?,- 평소에 가보고 싶었던 여행지 생각하기 <br>- 그 여행지로 여행을 떠났을 때 게획 정하기<br>- 여행계획을 촬영해서 업로드하기,4
자기계발,버킷리스트 작성하기,인생의 길잡이가 될 수 있어요!,- 평소에 하고 싶었던 것들로 버킷 리스트 짜기 <br>- 버킷리스트 촬영해서 이미지 업로드하기,4
자기계발,모르는 요리 배워보기,고구마 맛탕이라도 좋아요! 자신의 요리 스팩트럼을 넓혀보세요,- 할 줄 몰랐던 레시피로 요리를 해보기 <br>- 완성된 요리를 촬영해서 이미지 업로드하기,4
자기계발,클래식 듣기,가끔은 마음을 편안하게 안정시킬 필요도 있어 보여요. 휴식합시다,- 클래식을 찾아 들으며 잠시 휴식을 취하기 <br>- 들은 클래식의 제목들을 종이에 적어 촬영해 업로드하기,4
튜토리얼,퀘스트 발급받고 완료하기,데일리 퀘스트'에 오신 것을 환영합니다!,- 이 퀘스트를 선택해 발급받기 <br>- 진행중 화면을 캡쳐해서 업로드하기,2
튜토리얼,커뮤니티 사이트에 글 업로드하기,같은 퀘스트를 수행하는 사람들끼리 소통도 중요하죠!,- 이 퀘스트를 선택해 발급받기 <br>- 이 퀘스트 커뮤니티에 글 작성하기,2
튜토리얼,자신만의 미션 만들고 달성하기,평소에 달성해보고 싶었던 미션이 있나요? 직접 만들어 보세요,- '퀘스트 만들기'에서 '자신만의 미션 만들고 달성하기'라고 입력 후 생성 <br>- 진행중 화면을 캡쳐해서 업로드하기,2
해커톤,자기팀 아이디어 5회 홍보하기,홍보효과 업! 자신감도 업!,- 다른 조에 찾아가기 <br>- 자신의 아이템을 소개하며 홍보하기<br>- 홍보한 5개 조의 조이름을 종이에 적어 촬영 후 업로드하기,4
해커톤,빨간색 옷 입은사람과 커피 사먹기,다른학교 사람들과도 인맥을 쌓아봐요,- 다른 조에서 빨간색 옷을 입은 사람 찾기 <br>- 커피를 사먹기 <br>- 커피 사진을 촬영해 인증샷 올리기,4
해커톤,파란색 옷 입은사람과 커피 사먹기,,- 다른 조에서 파란색 옷을 입은 사람 찾기 <br>- 커피를 사먹기 <br>- 커피 사진을 촬영해 인증샷 올리기,4
해커톤,하얀색 옷 입은 사람과 커피 사먹기,,- 다른 조에서 하얀색 옷을 입은 사람 찾기 <br>- 커피를 사먹기 <br>- 커피 사진을 촬영해 인증샷 올리기,4
해커톤,이두희 대장님과 사진찍기,이럴때 아니면 언제 찍겠어요,- 이두희 대장님 찾기 <br>- 둘이 합쳐 하트를 만든 뒤 사진 찍기<br>- 커피 사진을 촬영해 인증샷 올리기,4
,,,,
